2017-02-20T18:32:03+0100,484
2017-02-20T18:33:03+0100,614
2017-02-20T18:34:03+0100,1407
2017-02-20T18:35:03+0100,1005
2017-02-20T18:36:03+0100,1187
2017-02-20T18:37:03+0100,783
2017-02-20T18:38:03+0100,1158
2017-02-20T18:39:03+0100,1062
2017-02-20T18:40:04+0100,446
2017-02-20T18:41:04+0100,223
2017-02-20T18:42:04+0100,441
2017-02-20T18:43:04+0100,1041
2017-02-20T18:44:04+0100,1080
2017-02-20T18:45:04+0100,437
2017-02-20T18:46:04+0100,370
2017-02-20T18:47:04+0100,623
2017-02-20T18:48:04+0100,701
2017-02-20T18:49:04+0100,846
2017-02-20T18:50:04+0100,211
2017-02-20T18:51:04+0100,1356
2017-02-20T18:52:04+0100,1213
2017-02-20T18:53:04+0100,545
2017-02-20T18:54:04+0100,1340
2017-02-20T18:55:04+0100,341
2017-02-20T18:56:04+0100,440
2017-02-20T18:57:04+0100,317
2017-02-20T18:58:04+0100,1399
2017-02-20T18:59:04+0100,1395
2017-02-20T19:00:04+0100,730
2017-02-20T19:01:04+0100,1105
2017-02-20T19:02:04+0100,668
2017-02-20T19:03:04+0100,519
2017-02-20T19:04:04+0100,1266
2017-02-20T19:05:04+0100,1476
2017-02-20T19:06:04+0100,1264
2017-02-20T19:07:04+0100,1390
2017-02-20T19:08:04+0100,1112
2017-02-20T19:09:04+0100,741
2017-02-20T19:10:04+0100,1058
2017-02-20T19:11:04+0100,1058
2017-02-20T19:12:04+0100,1058
2017-02-20T19:13:04+0100,698
2017-02-20T19:14:04+0100,468
2017-02-20T19:15:04+0100,314
2017-02-20T19:16:04+0100,357
2017-02-20T19:17:04+0100,1471
2017-02-20T19:18:04+0100,541
2017-02-20T19:19:04+0100,972
2017-02-20T19:20:04+0100,466
2017-02-20T19:21:04+0100,574
2017-02-20T19:22:04+0100,630
2017-02-20T19:23:04+0100,1488
2017-02-20T19:24:04+0100,524
2017-02-20T19:25:04+0100,611
2017-02-20T19:26:04+0100,766
2017-02-20T19:27:04+0100,1448
2017-02-20T19:28:04+0100,980
2017-02-20T19:29:04+0100,1274
2017-02-20T19:30:04+0100,775
2017-02-20T19:31:04+0100,1456
2017-02-20T19:32:04+0100,955
2017-02-20T19:33:04+0100,563
2017-02-20T19:34:04+0100,995
2017-02-20T19:35:04+0100,432
2017-02-20T19:36:04+0100,1148
2017-02-20T19:37:04+0100,1204
2017-02-20T19:38:04+0100,543
2017-02-20T19:39:04+0100,257
2017-02-20T19:40:04+0100,694
2017-02-20T19:41:04+0100,1121
2017-02-20T19:42:04+0100,1068
2017-02-20T19:43:04+0100,589
2017-02-20T19:44:04+0100,1489
2017-02-20T19:45:04+0100,388
2017-02-20T19:46:04+0100,296
2017-02-20T19:47:04+0100,768
2017-02-20T19:48:04+0100,737
2017-02-20T19:49:04+0100,739
2017-02-20T19:50:04+0100,402
2017-02-20T19:51:04+0100,1285
2017-02-20T19:52:04+0100,1427
2017-02-20T19:53:04+0100,967
2017-02-20T19:54:04+0100,421
2017-02-20T19:55:04+0100,466
2017-02-20T19:56:04+0100,1166
2017-02-20T19:57:04+0100,714
2017-02-20T19:58:04+0100,544
2017-02-20T19:59:04+0100,1226
2017-02-20T20:00:04+0100,747
2017-02-20T20:01:04+0100,1465
2017-02-20T20:02:04+0100,1466
2017-02-20T20:03:04+0100,805
2017-02-20T20:04:04+0100,286
2017-02-20T20:05:04+0100,422
2017-02-20T20:06:04+0100,411
2017-02-20T20:07:04+0100,1127
2017-02-20T20:08:04+0100,1298
2017-02-20T20:09:04+0100,1393
2017-02-20T20:10:04+0100,1288
2017-02-20T20:11:04+0100,675
